date,XLC,XLY,XLP,XLE,XLF,XLI,XLB,XLK,XLV,XLU,XLRE
2020-01-31,0.16863147452019928,0.1441602624407116,0.1046836946719074,0.201986926983145,0.1665625280887824,0.15248584419815164,0.16304318010710062,0.20436895342795644,0.13208557849679534,0.11475126820889375,0.1322895558003374
2020-02-29,0.28428448669962464,0.3109642024240865,0.2352886716595957,0.2820900931623277,0.27930015390630125,0.25732678324764013,0.26844313023479305,0.434693258589882,0.24106611866497604,0.22093368743460656,0.25815363019619897
2020-03-31,0.656479135198937,0.6260255493020801,0.46386384948433174,0.8778847775636305,0.6316337280344588,0.6711222564329149,0.6196555104566345,0.8167717109581294,0.6431319293782953,0.7557035500126075,0.5771500670998446
2020-04-30,0.39543643122423594,0.2881694230944345,0.15078018814335353,0.6462795764306025,0.3301516841892699,0.26560954433771256,0.3078214536418287,0.43122806975643396,0.23417803760503716,0.20979529062986665,0.2344368923145634
2020-05-31,0.20405134965190164,0.2174995433345335,0.14773196405378264,0.4194226727944775,0.4015476874965087,0.3245521834295622,0.2300135124102068,0.21250113775424284,0.1653290556520652,0.23100362426447588,0.2599110009135294
2020-06-30,0.33546347933069093,0.29114786579227014,0.21292291913096173,0.4959397441383775,0.41634302213275104,0.3456566848978326,0.29668735427052717,0.2998362415178724,0.22199146076344833,0.21641252831553745,0.2675544420577072
2020-07-31,0.18837841798744992,0.17519610020996879,0.1218228843223197,0.4187636922040909,0.2558504830662054,0.2072685215342267,0.2446003422859804,0.2650615154868942,0.1648323437507626,0.17260757916558303,0.21430436297051603
2020-08-31,0.25058478651995314,0.16066975044214138,0.12967818769631217,0.3007345311590496,0.21457146115049117,0.182244638658883,0.18974489921019588,0.22270959737314774,0.1500792093479699,0.15295275329758648,0.18017281855427034
2020-09-30,0.24331497155696585,0.24521210818652986,0.15683757177799582,0.40869626808556403,0.27514544411842207,0.25249742176056256,0.26683823386771066,0.3193656430554384,0.18207394605003527,0.18190791774901216,0.2644756007765717
2020-10-31,0.3497649955848798,0.2966754150978534,0.18238315771407712,0.42422965068153085,0.263862024273137,0.27775813496020985,0.2653687702141169,0.4052801902749037,0.20965474464950068,0.19953458963309104,0.21344394700477073
2020-11-30,0.19839822501309773,0.16973313253297853,0.13243005991426918,0.6641476730573402,0.30806817444626844,0.21930429104163512,0.23546898130644192,0.21992808108225614,0.16722873361583518,0.18288025490989318,0.1637637373352377
2020-12-31,0.18160202273062373,0.1498323713264012,0.13149433026752227,0.35763744952392934,0.18507825495816577,0.1696494678682743,0.19122809764520013,0.201611503802015,0.15209134473775718,0.149002173028094,0.18247700559169497
2021-01-31,0.28298066284598217,0.27773476331329194,0.18536400745667186,0.39034826731704264,0.33310892385576907,0.2446241032385996,0.28925377820864034,0.28713394652156826,0.2022436041234923,0.21938687424505038,0.1877558953476653
2021-02-28,0.20418837942702595,0.2915209809711854,0.16151446528660846,0.41647787213581217,0.29660612750422266,0.2229261897877806,0.2477607002915353,0.3098580192284677,0.16758306442950313,0.21131781078956613,0.19803770287520517
2021-03-31,0.22045887460570004,0.2017091621195605,0.1638904806270765,0.35258167273572,0.23641308247335224,0.2060164211162409,0.2361117234879789,0.2644342583979495,0.17471760526950608,0.17103172852833398,0.19482640622670647
2021-04-30,0.2274720155489321,0.16114031562690848,0.14248796577168935,0.3284542248795668,0.2389548735144503,0.182226247699747,0.2091403082323961,0.21921000056901094,0.15549731440565545,0.1530546778817093,0.153147691153105
2021-05-31,0.18729426928079426,0.17013573169980803,0.13137110390998086,0.3010490309437907,0.1976871561909083,0.20269081211926757,0.2002428825429525,0.21885515694235183,0.14850038032301066,0.15830831380742308,0.1611466069864147
2021-06-30,0.17339157914713746,0.14432614531198074,0.1367767254028032,0.35342628664101267,0.23416400903150697,0.18578606193612335,0.19529702228443485,0.20741975713071983,0.1495185579373769,0.19519571376361272,0.15786963396887888
