sector,daily_arch_pvalue,daily_has_arch,monthly_arch_pvalue,monthly_has_arch
XLB,4.514053104647991e-154,True,0.049966439801784286,True
XLC,2.8359652329201078e-89,True,0.3869677280325402,False
XLE,2.2249663383954014e-125,True,0.008817575662271822,True
XLF,1.3933043621123288e-196,True,0.5283764655279141,False
XLI,5.649749273309323e-175,True,0.24904097257781058,False
XLK,1.7218305360386668e-125,True,0.028853880794078215,True
XLP,3.375262770693053e-246,True,0.6036816673237215,False
XLRE,4.1041205371331356e-162,True,0.38185936898945416,False
XLU,3.64304964493087e-241,True,0.896581260542349,False
XLV,9.666922500277076e-200,True,0.8829220523271024,False
XLY,4.889842643399614e-109,True,0.0015507167923839108,True
